Brand Catalog,Supplier ID,Supplier Name,SRM,Supplier Part ID,Supplier Part Number,Manufacturer Part ID,Manufacturer Part Number,SKU,SRB_Segmentation,Composite Part,Physical_Retail_InventoryType,Physical_Retail_PricingLabel,Class Name,Marketing Category SKU,Rec Discount Percent,Discount,B2B Discount,Pro Price Eligible?,Submitted By Auto-Approval,Last Update Time,WSC Rev L12M,GRS L12M
Wayfair US,32808,CAN_Cathay Home Inc.,Paige Beattie,20491381,108185-1800-WHT-Q,5477637,108185-1800-WHT-Q,WFBS1741,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Sheets & Pillowcases,Bedding,0.5,0.4,,No,false,"Jul 20, 2026, 9:43:53 AM",66700.07,138915.2284
Wayfair US,282391,Homechoice International Group,Rainbow Wu,122230548,WF-RIPPLE-DP-2PC-YLW-16R,75290973,WF-RIPPLE-DP-2PC-YLW-16R,HCIG1579,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Accent Pillows,Bedding,0.4999,0.25,,No,false,"Jul 28, 2026, 3:42:32 AM",81341.5788,144542.9643
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,112615388,US005827GQU,109134197,US005827GQU,BDUR1247,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.5,0.44,,No,false,"Aug 4, 2026, 11:41:04 AM",66362.1544,74882.6842
Wayfair US,19319,I Enjoy Bedding Company,Madison Carvalho,105260311,COMF-TMU-KING-DUNE,102320725,COMF-TMU-KING-DUNE,JLYI1252,Not Segmented,Not Composite,Cash&Carry,Stickered (Price Locked),Bedding Sets,Bedding,0.2725,0.2,,No,false,"Jul 24, 2026, 2:26:23 PM",83492.6001,136601.0122
Wayfair US,1987,JLA Home,Missy Paragamian,26264628,MPS10-258,28324058,MPS10-258,BDIS1484,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.4503,0.15,,No,false,"Aug 4, 2026, 11:40:58 AM",121226.4626,167840.2893
Wayfair US,282391,Homechoice International Group,Rainbow Wu,121588865,WF1-CLAIRE-PL-2PC-BLU-20x20,74892928,WF1-CLAIRE-PL-2PC-BLU-20x20,HCIG1479,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Accent Pillows,Bedding,0.4999,0.25,,No,false,"Jul 28, 2026, 3:42:32 AM",30744.4428,91445.0561
Wayfair US,109120,HEPPER MAYEWSKI LLC,Yvonne Yin,119796212,HSIU_BB_5060OW,115714080,HSIU_BB_5060OW,HEPP1431,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Blankets And Throws,Bedding,0.5,0.5,,No,false,"Jul 13, 2026, 8:04:37 PM",21817.4833,45618.0615
Wayfair US,1748,Revman International,Missy Paragamian,85978066,USHSA91225596,85187843,USHSA91225596,MBVB1497,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.2002,0.31183103,,No,false,"Aug 4, 2026, 11:40:49 AM",50791.9776,69829.7685
Wayfair US,19319,I Enjoy Bedding Company,Madison Carvalho,16756823,SS-4PC-QUEEN-WHITE,19658964,SS-4PC-QUEEN-WHITE,ANDV5673,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Sheets & Pillowcases,Bedding,0.5,0.2,,No,false,"Jul 24, 2026, 2:26:23 PM",54123.9787,105483.2359
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,112591612,US005861WQU,109110484,US005861WQU,BDUR1128,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.5,0.5,,No,false,"Aug 4, 2026, 11:41:04 AM",23594.0546,40688.9334
Wayfair US,282391,Homechoice International Group,Rainbow Wu,135254240,WF-VIOLET-CF-8PC-TRC-Q,117872293,WF-VIOLET-CF-8PC-TRC-Q,HCIG1728,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.4999,0.25,,No,false,"Jul 28, 2026, 3:42:32 AM",45531.0176,79353.9201
Wayfair US,37327,Instyle Products Corp,Rikki Sartor,50850263,4PCK_CUSHON _18x18,51850569,4,KBST1112,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Accent Pillows,Bedding,0.5,0.24,,No,false,"Jul 27, 2026, 9:44:43 AM",43929.486,80472.9
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,128676119,US004527LQU,123267841,US004527LQU,BDUR1474,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.3668,0.295,,No,false,"Aug 4, 2026, 11:41:04 AM",52433.2565,59550.9862
Wayfair US,1748,Revman International,Missy Paragamian,40493134,USHSA51070992,32722093,USHSA51070992,ERB10504,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.2861,0.35147392,,No,false,"Aug 4, 2026, 11:40:49 AM",39623.9608,44715.5241
Wayfair US,1987,JLA Home,Missy Paragamian,66662802,MPS10-485,67222177,MPS10-485,NCWB1221,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.4729,0.12,,No,false,"Aug 4, 2026, 11:40:58 AM",98934.6888,125782.2233
Wayfair US,1987,JLA Home,Missy Paragamian,52527048,MPS10-464,53488754,MPS10-464,NCWB1200,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.4503,0.07,,No,false,"Aug 4, 2026, 11:40:58 AM",177227.1513,215159.3352
Wayfair US,32808,CAN_Cathay Home Inc.,Paige Beattie,30180875,ADCWF-WHT-K,32221485,ADCWF-WHT-K,WFBS2099,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.5,0.4,,No,false,"Jul 20, 2026, 9:43:53 AM",19831.7375,37283.8334
Wayfair US,1748,Revman International,Missy Paragamian,5970726,211130,18346561,211130,TBB1735,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.3794,0.33,,No,false,"Aug 4, 2026, 11:40:49 AM",27811.651,43174.6357
Wayfair US,1748,Revman International,Missy Paragamian,23562307,223943,23012914,223943,ERB1776,Not Segmented,Not Composite,Cash&Carry,Stickered (Price Locked),Bedding Sets,Bedding,0.278,0.35757576,,No,false,"Aug 4, 2026, 11:40:49 AM",34977.2088,39513.0953
Wayfair US,1748,Revman International,Missy Paragamian,31419413,USHSHF1069876,33267003,USHSHF1069876,ERB1759,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Blankets And Throws,Bedding,0.3341,0.35329976,,No,false,"Aug 4, 2026, 11:40:49 AM",31234.9757,39664.2953
Wayfair US,80197,CENTRADE INC.,Jessica Gu,85355927,CEN-No/B-967-Linen-Beige-194,84566080,CEN-No/B-967-Linen-Beige-194,WWMA1109,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Accent Pillows,Bedding,0.4968,0.17,,No,false,"Jul 17, 2026, 12:24:33 AM",51755.5456,75142.6648
Wayfair US,38830,Costway,David Liu,63202466,HT1067,63815570,HT1067,CSWY5255,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Blankets And Throws,Bedding,0.5,0.49,,No,false,"Jul 29, 2026, 8:41:52 AM",18078.8625,24622.3736
Wayfair US,1748,Revman International,Missy Paragamian,113584961,USHSA51284290,110015004,USHSA51284290,VRWG2187,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.3336,0.25272243,,No,false,"Aug 4, 2026, 11:40:49 AM",37602.5088,47401.78
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,116248857,US003671EQU,112340963,US003671EQU,BDUR2441,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.5,0.15,,No,false,"Aug 4, 2026, 11:41:04 AM",67991.7475,78171.0885
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,122792851,US000104EOQ,117857715,US000104EOQ,BDUR1377,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.5,0.15,,No,false,"Aug 4, 2026, 11:41:04 AM",55122.7984,75707.1472
Wayfair US,1748,Revman International,Missy Paragamian,116747810,USHSA91301806,112832838,USHSA91301806,ERB10909,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.3336,0.25311423,,No,false,"Aug 4, 2026, 11:40:49 AM",35483.3099,44367.6889
Wayfair US,1748,Revman International,Missy Paragamian,14707007,206705,3481252,206705,ERB1340,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Blankets And Throws,Bedding,0.2805,0.28571429,,No,false,"Aug 4, 2026, 11:40:49 AM",35443.322,38799.718
Wayfair US,340024,BNF Home Inc CAN_1,Vivian Peng,136868750,BAF131205TT-BO,6657205,BAF131205TT-BO,TRPT1913,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Blankets And Throws,Bedding,0.5,0.3,,No,false,"Jul 28, 2026, 4:05:59 AM",20858.4152,36517.2495
Wayfair US,241908,"NANTONG WELL TEXTILE SCIENCE AND TECHNOLOGY CO., LTD",Jessica Gu,101945446,HYRD001-DV-LK,99766406,HYRD001-DV-LK,HNRE1002,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.2815,0.1,,No,false,"Jul 27, 2026, 2:50:38 AM",75558.4634,106895.0916
Wayfair US,282391,Homechoice International Group,Rainbow Wu,135254193,WF-22570-CF-7PC-YLW-K,103680386,WF-22570-CF-7PC-YLW-K,HCIG1744,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.4999,0.25,,No,false,"Jul 28, 2026, 3:42:32 AM",28520.53,41479.38
Wayfair US,333115,Topfinel CAN,Vivian Peng,135218805,KD148Blue1818-4,76367926,KD148Blue1818-4,TPFI1148,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Accent Pillows,Bedding,0.4021,0.3,,No,false,"Jul 13, 2026, 2:34:18 AM",15944.4597,34250.1731
Wayfair US,147802,Shenzhen Meiyuan Keji Youxiangongsi,Regan Zou,118186368,MYPOA10454677,114124596,MYPOA10454677,NGSO2152,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Accessories,Bedding,0.4491,0.42,,No,false,"Jul 24, 2026, 7:56:23 AM",13570.1024,23250.0884
Wayfair US,150802,TONGXIANG ZHONGXIANG TEXTILES CO LTD,Sylvia Ding,91697465,SKSQPILLOW-18*18,90750445,SKSQPILLOW-18*18,SLKO1012,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Accent Pillows,Bedding,0.5,0.5,,No,false,"Jul 22, 2026, 3:43:43 AM",3346.0468,19234.8074
Wayfair US,1748,Revman International,Missy Paragamian,33586459,USHSA91088723,35271836,USHSA91088723,MBVB1113,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.3559,0.283859,,No,false,"Aug 4, 2026, 11:40:49 AM",26961.0588,33715.2379
Wayfair US,19319,I Enjoy Bedding Company,Madison Carvalho,88041056,IEH-QLT-STR-KING-NATURAL,87213531,IEH-QLT-STR-KING-NATURAL,JLYI1200,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.3461,0.2,,No,false,"Jul 24, 2026, 2:26:23 PM",29132.2619,46977.7016
Wayfair US,282391,Homechoice International Group,Rainbow Wu,135254281,WF-DOWNALT-CF-3PC-GRY-Q,51099133,WF-DOWNALT-CF-3PC-GRY-Q,ENDG2679,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.4999,0.25,,No,false,"Jul 28, 2026, 3:42:32 AM",19649.455,35487.0715
Wayfair US,1748,Revman International,Missy Paragamian,115365106,USHSA51301869,111498493,USHSA51301869,ERB10894,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.3056,0.23419438,,No,false,"Aug 4, 2026, 11:40:49 AM",32466.6286,37077.89
Wayfair US,19319,I Enjoy Bedding Company,Madison Carvalho,59293833,IEH-THROW-CHKN-LBLUE,60102172,IEH-THROW-CHKN-LBLUE,JLYI1169,Not Segmented,Not Composite,Cash&Carry,Stickered (Price Locked),Blankets And Throws,Bedding,0.4011,0.2,,No,false,"Jul 24, 2026, 2:26:23 PM",29860.3472,43320.7163
Wayfair US,1987,JLA Home,Missy Paragamian,33074256,MPS10-346,34791171,MPS10-346,NCWB1118,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.2501,0.15,,No,false,"Aug 4, 2026, 11:40:58 AM",46208.1498,57191.087
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,123525815,US004210LKI,118571342,US004210LKI,BDUR1728,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.5,0.3,,No,false,"Aug 4, 2026, 11:41:04 AM",18172.1304,28151.7845
Wayfair US,282391,Homechoice International Group,Rainbow Wu,121588860,WF-TANG-CF-8PC-GRAY-Q,47531686,WF-TANG-CF-8PC-GRAY-Q,HCIG1223,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.4999,0.25,,No,false,"Jul 28, 2026, 3:42:32 AM",20552.985,33690.2321
Wayfair US,1748,Revman International,Missy Paragamian,8268218,206700,19816605,206700,ERB10776,Not Segmented,Not Composite,Cash&Carry,Stickered (Price Locked),Bedding Sets,Bedding,0.2784,0.33266733,,No,false,"Aug 4, 2026, 11:40:49 AM",23543.3925,25237.2402
Wayfair US,32808,CAN_Cathay Home Inc.,Paige Beattie,31803572,917615-WHT-Q,22298030,917615-WHT-Q,WFBS1855,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bed Skirts,Bedding,0.5,0.35,,No,false,"Jul 20, 2026, 9:43:53 AM",6636.59,23670.6478
Wayfair US,1748,Revman International,Missy Paragamian,19184607,211132,8989868,211132,TBB1734,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.3569,0.3877551,,No,false,"Aug 4, 2026, 11:40:49 AM",13181.22,21361.0843
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,122868865,US001611MQU,117933489,US001611MQU,BDUR1481,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.5,0.21,,No,false,"Aug 4, 2026, 11:41:04 AM",25287.4379,38562.4636
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,128257621,US003324RQU,122850463,US003324RQU,BDUR1643,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.5,0.5,,No,false,"Aug 4, 2026, 11:41:04 AM",10887.9187,15934.45
Wayfair US,1748,Revman International,Missy Paragamian,2177360,208213,32221771,208213,TBB1756,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.2063,0.30290662,,No,false,"Aug 4, 2026, 11:40:49 AM",20098.7688,25878.14
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,123525279,US004588NQU,118570804,US004588NQU,BDUR1678,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.2766,0.35,,No,false,"Aug 4, 2026, 11:41:04 AM",17014.6427,22192.419
Wayfair US,1748,Revman International,Missy Paragamian,39798973,USHSA51119660,41134750,USHSA51119660,MBVB1213,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.4165,0.31379097,,No,false,"Aug 4, 2026, 11:40:49 AM",19644.5232,24073.1394
Wayfair US,1748,Revman International,Missy Paragamian,107957978,USHSA91284424,104805384,USHSA91284424,ERB10871,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.2,0.27705628,,No,false,"Aug 4, 2026, 11:40:49 AM",20743.5875,27215.47
Wayfair US,1748,Revman International,Missy Paragamian,16770789,220085,5473023,220085,NAL1875,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.3114,0.18497217,,No,false,"Aug 4, 2026, 11:40:49 AM",33413.34954,40659.9706
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,128280164,US003169EKI,122872990,US003169EKI,BDUR1996,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Sheets & Pillowcases,Bedding,0.5,0.15,,No,false,"Aug 4, 2026, 11:41:04 AM",43409.0336,49591.6344
Wayfair US,1748,Revman International,Missy Paragamian,51363996,USHSGR1167153,52359078,USHSGR1167153,TBL10404,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.3756,0.33,,No,false,"Aug 4, 2026, 11:40:49 AM",17757.5484,22532.1168
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,112599479,US005504WKI,109118343,US005504WKI,BDUR1253,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.5,0.4,,No,false,"Aug 4, 2026, 11:41:04 AM",10413.3253,18567.4126
Wayfair US,37327,Instyle Products Corp,Rikki Sartor,30573278,Comforter_Q_White e,32442224,Comforter_Q_White e,KBST1035,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.5,0.25,,No,false,"Jul 27, 2026, 9:44:43 AM",13628.0251,29398.4738
Wayfair US,282391,Homechoice International Group,Rainbow Wu,115720510,WF-22155-CF-7PC-TAU-Q,66207416,WF-22155-CF-7PC-TAU-Q,HCIG1530,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.4999,0.25,,No,false,"Jul 28, 2026, 3:42:32 AM",17184.804,29372.6364
Wayfair US,1748,Revman International,Missy Paragamian,50861607,USHS8K1167499,51862000,USHS8K1167499,TBL10356,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Bedding Sets,Bedding,0.3194,0.14415584,,No,false,"Aug 4, 2026, 11:40:49 AM",39816.9464,50577.3663
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,122818894,US000427ETH,117883704,US000427ETH,BDUR1420,Not Segmented,Not Composite,Not Physical Retail,Not Physical Retail,Blankets And Throws,Bedding,0.2607,0.15,,No,false,"Aug 4, 2026, 11:41:04 AM",47515.0532,47118.3474
