brand_catalog,supplier_id,supplier_name,srm,sku,class_name,marketing_category,discount_pct,non_promo_avg,loyalty_avg,lift_pct,incremental_sales,active_on_event,positive_lift
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR1474,Bedding Sets,Bedding,0.295,3726.55,2363.85,-0.3657,-1362.7000000000003,True,False
Wayfair US,32808,CAN_Cathay Home Inc.,Paige Beattie,WFBS1741,Sheets & Pillowcases,Bedding,0.4,3498.69,3307.75,-0.0546,-190.94000000000005,True,False
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR1247,Bedding Sets,Bedding,0.44,2225.23,2463.15,0.1069,237.92000000000007,True,True
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR1691,Bedding Sets,Bedding,0.3,1446.28,1687.18,0.1666,240.9000000000001,True,True
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR1377,Bedding Sets,Bedding,0.15,1255.62,1092.75,-0.1297,-162.8699999999999,True,False
Wayfair US,19319,I Enjoy Bedding Company,Madison Carvalho,JLYI1252,Bedding Sets,Bedding,0.2,1103.41,1107.32,0.0034999999999999996,3.9099999999998545,True,True
Wayfair US,1748,Revman International,Missy Paragamian,NAL1994,Sheets & Pillowcases,Bedding,0.1725,1078.43,1217.62,0.1291,139.18999999999983,True,True
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR1383,Bedding Sets,Bedding,0.15,1011.15,887.2,-0.1226,-123.94999999999993,True,False
Wayfair US,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR1646,Sheets & Pillowcases,Bedding,0.15,980.46,1484.47,0.5141,504.01,True,True
Wayfair US,24696,Daniel Linen/Home Sweet Home Dreams Inc.,Supplier Service Desk,ANDV3018,Sheets & Pillowcases,Bedding,0.02,977.81,830.93,-0.1502,-146.88,True,False
Wayfair US,231356,"SHENZHENMENGMI TEXTILE CO.,LTD",lance Zhou,SEDZ1026,Bedding Sets,Bedding,0.2,957.9,1106.28,0.1549,148.38,True,True
