source_page,source_row,supplier_id,supplier_name,srm,sku,class_name,rec_discount_pct,discount_pct,b2b_discount_pct,wsc_rev_l12m,grs_l12m,l10_non_promo_daily_avg,member_monday_sales,member_monday_lift_pct,incremental_sales,active_on_member_monday,positive_lift
1,4,119490,Bes Home Corp.,Benjamin Hannigan,LLIJ1204,Curtains & Drapes,0.5,0.16,,4989.83,8935.52,727.42,1950.81,1.6818,1223.3899999999999,True,True
1,5,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1075,Curtains & Drapes,0.44299999999999995,0.22,0.27,42985.0,55422.75,735.88,1143.79,0.5543,407.90999999999997,True,True
1,6,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1081,Curtains & Drapes,0.38159999999999994,0.22,0.27,30020.41,44040.14,106.48,1041.96,8.7854,935.48,True,True
1,7,1987,JLA Home,Missy Paragamian,NCWA1714,Curtains & Drapes,0.5,0.05,0.5,38826.72,54242.83,400.9,836.05,1.0854000000000001,435.15,True,True
1,8,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1072,Curtains & Drapes,0.36979999999999996,0.22,0.27,49331.91,65433.85,685.24,677.47,-0.0113,-7.769999999999982,True,False
1,9,1987,JLA Home,Missy Paragamian,NCWA2285,Blinds and Shades,0.4489,0.17,0.4904,13170.51,25619.54,158.12,574.46,2.633,416.34000000000003,True,True
1,10,119490,Bes Home Corp.,Benjamin Hannigan,LLIJ1393,Curtains & Drapes,0.3346,0.16,,1121.53,1433.96,19.74,549.79,26.8582,530.05,True,True
1,11,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1126,Curtains & Drapes,0.36979999999999996,0.22,0.27,9007.9,13145.22,351.99,514.65,0.4621,162.65999999999997,True,True
1,12,119490,Bes Home Corp.,Benjamin Hannigan,LLIJ1376,Curtains & Drapes,0.4077,0.16,,2211.88,3176.42,129.6,310.3,1.3943,180.70000000000002,True,True
1,13,1987,JLA Home,Missy Paragamian,IKIY1023,Curtains & Drapes,0.5,0.07,0.4022,128483.78,211406.55,499.77,256.72,-0.4863,-243.04999999999995,True,False
1,14,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1089,Curtains & Drapes,0.44920000000000004,0.22,0.27,11934.45,17638.35,50.5,234.2,3.638,183.7,True,True
1,15,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1084,Curtains & Drapes,0.4439,0.22,0.27,25092.62,33358.52,171.92,227.29,0.3221,55.370000000000005,True,True
1,16,1987,JLA Home,Missy Paragamian,NCWA2896,Blinds and Shades,,0.12,,350.1,675.85,9.38,220.55,22.520300000000002,211.17000000000002,True,True
1,17,1987,JLA Home,Missy Paragamian,NCWA1656,Blinds and Shades,0.5,0.25,0.5,11023.53,18714.65,117.36,212.19,0.8079999999999999,94.83,True,True
1,18,37327,Instyle Products Corp.,Rikki Sartor,KBST1240,Curtains & Drapes,0.5,0.29,,3542.06,6809.74,117.16,202.91,0.732,85.75,True,True
1,19,1987,JLA Home,Missy Paragamian,FMFC1009,Curtains & Drapes,0.5,0.17,0.46340000000000003,28594.66,45420.84,363.31,158.42,-0.564,-204.89000000000001,True,False
1,20,1987,JLA Home,Missy Paragamian,HOHM7324,Curtains & Drapes,0.3953,0.12,0.4857,7141.66,10598.89,43.29,145.11,2.3521,101.82000000000002,True,True
1,21,119490,Bes Home Corp.,Benjamin Hannigan,LLIJ1301,Curtains & Drapes,0.3346,0.16,,1114.98,1966.78,13.33,143.97,9.7996,130.64,True,True
1,22,2554,Pem America,Benjamin Hannigan,BDOK1138,Curtains & Drapes,0.2,0.2,0.248,185.63,227.35,0.45,123.19,275.836,122.74,True,True
1,23,1987,JLA Home,Missy Paragamian,NCWA2851,Curtains & Drapes,0.4517,0.15,0.49079999999999996,9297.58,14489.97,127.98,122.61,-0.04190000000000001,-5.3700000000000045,True,False
1,24,1987,JLA Home,Missy Paragamian,NCWA2773,Blinds and Shades,0.39280000000000004,0.15,0.436,4368.78,8796.52,112.17,117.6,0.0484,5.429999999999993,True,True
1,25,78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,VSIO1044,Curtains & Drapes,0.4439,0.22,0.27,21785.25,29691.34,186.2,113.64,-0.3897,-72.55999999999999,True,False
1,26,1987,JLA Home,Missy Paragamian,WRLO7318,Curtains & Drapes,0.4517,0.2,0.3947,3287.9,4668.84,13.7,105.21,6.678999999999999,91.50999999999999,True,True
1,27,119490,Bes Home Corp.,Benjamin Hannigan,LLIJ1439,Curtains & Drapes,0.3367,0.16,,3230.38,4270.29,265.87,100.8,-0.6209,-165.07,True,False
1,28,119490,Bes Home Corp.,Benjamin Hannigan,LLIJ1310,Curtains & Drapes,0.3367,0.16,,2059.24,3281.49,37.24,96.54,1.5925,59.300000000000004,True,True
1,29,119490,Bes Home Corp.,Benjamin Hannigan,LLIJ1187,Curtains & Drapes,0.2697,0.16,,4999.22,8799.06,233.06,89.68,-0.6152000000000001,-143.38,True,False
1,30,1987,JLA Home,Missy Paragamian,NCWA1710,Curtains & Drapes,0.5,0.05,0.5,2648.65,4709.18,7.85,78.18,8.9592,70.33000000000001,True,True
1,31,1987,JLA Home,Missy Paragamian,ANDV5134,Curtains & Drapes,0.5,0.17,0.5,18740.52,26649.94,159.57,72.8,-0.5438000000000001,-86.77,True,False
1,32,1987,JLA Home,Missy Paragamian,ALCT7364,Curtains & Drapes,0.3953,0.15,0.4357,4391.65,6720.68,78.36,68.3,-0.1283,-10.060000000000002,True,False
1,33,7344,Victoria Classics,Supplier Service Desk,RAOR1276,Valances & Kitchen Curtains,0.4767,0.19010000000000002,0.2401,2977.79,7185.72,30.25,65.29,1.1581000000000001,35.040000000000006,True,True
1,34,1987,JLA Home,Missy Paragamian,ARGD1060,Valances & Kitchen Curtains,0.3885,0.17,0.44049999999999995,28657.19,36623.13,74.04,62.8,-0.1519,-11.240000000000009,True,False
1,35,1987,JLA Home,Missy Paragamian,IKIY1022,Curtains & Drapes,0.3953,0.17,0.4357,2734.06,4410.7,0.0,59.92,,59.92,True,True
1,36,1987,JLA Home,Missy Paragamian,MCRW5168,Valances & Kitchen Curtains,0.5,0.15,0.5,5949.47,7662.42,28.11,52.68,0.8741,24.57,True,True
1,37,2554,Pem America,Benjamin Hannigan,BDOK1403,Curtains & Drapes,0.2,0.15,0.201,321.76,519.45,6.29,49.47,6.8699,43.18,True,True
1,38,119490,Bes Home Corp.,Benjamin Hannigan,KLDF1235,Curtains & Drapes,0.3367,0.16,,652.21,973.92,17.73,46.79,1.6387,29.06,True,True
1,39,1987,JLA Home,Missy Paragamian,NCWA2747,Curtains & Drapes,0.3953,0.17,0.23800000000000002,3843.4,6220.82,19.53,38.5,0.9712000000000001,18.97,True,True
1,40,1987,JLA Home,Missy Paragamian,NCWA1609,Curtains & Drapes,0.5,0.17,0.3611,3859.74,5211.91,19.75,33.95,0.7190000000000001,14.200000000000003,True,True
1,41,1987,JLA Home,Missy Paragamian,TDFM1003,Curtains & Drapes,0.3953,0.2,0.4894,818.74,1267.38,7.92,26.2,2.3068,18.28,True,True
1,42,1987,JLA Home,Missy Paragamian,BCMH4792,Curtains & Drapes,0.3953,0.17,0.4357,6264.19,9295.03,37.98,25.63,-0.32520000000000004,-12.349999999999998,True,False
1,43,7344,Victoria Classics,Supplier Service Desk,WNPO7378,Curtains & Drapes,0.5,0.1902,0.2402,3785.97,8472.14,16.15,25.35,0.5693,9.200000000000003,True,True
