supplier_id,supplier_name,srm,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,l10_non_promo_daily_avg,member_monday_sales,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,weighted_b2b_discount_pct,weighted_rec_discount_pct,lift_per_discount_point
78708,Foshan Shiyue (Visionary) Trading Limited Company,Benjamin Hannigan,43,7,5,0.11627906976744186,3823.79,3953.0,129.21000000000004,0.03379108162320631,0.22000000000000006,0.21999999999999992,0.2699999999999999,0.4192509476200313,0.15359582556002874
1987,JLA Home,Missy Paragamian,82,27,15,0.18292682926829268,2822.79,3354.29,531.5,0.18828889148679143,0.16353658536585364,0.13522585810492457,0.45247135956715956,0.47143082487088617,1.3924030072761242
119490,Bes Home Corp.,Benjamin Hannigan,78,8,6,0.07692307692307693,2393.1299999999997,3288.68,895.5500000000002,0.3742170295805077,0.16,0.16000000000000003,,0.38621152434886774,2.3388564348781724
37327,Instyle Products Corp.,Rikki Sartor,1,1,1,1.0,117.16,202.91,85.75,0.7319050870604302,0.29,0.29,,0.5,2.5238106450359665
2554,Pem America,Benjamin Hannigan,25,2,2,0.08,12.28,172.66,160.38,13.060260586319218,0.17720000000000002,0.13471498371335505,0.2120352798053528,0.20667687296416937,96.94734933204377
7344,Victoria Classics,Supplier Service Desk,29,2,2,0.06896551724137931,81.22999999999999,90.64000000000001,9.410000000000025,0.11584390003693248,0.16138965517241383,0.18939757478764002,0.24239618724046805,0.4637507201772743,0.6116440517615983
1748,Revman International,Missy Paragamian,17,2,2,0.11764705882352941,34.33,34.19,-0.14000000000000057,-0.004078065831634156,0.23985294117647057,0.22027882318671715,,0.2598891639965045,-0.018513199646874017
22695,ELEGANCE LINEN,Benjamin Hannigan,25,2,2,0.08,19.889999999999997,20.240000000000002,0.350000000000005,0.01759678230266491,0.25,0.25,0.30000000000000004,0.4999478910369069,0.07038712921065964
112418,SAF IJAZ,Supplier Service Desk,3,0,0,0.0,0.0,0.0,0.0,,0.07,0.07,0.07,,
17102,Trade-Linker,Jaiden Lawlor,1,0,0,0.0,0.0,0.0,0.0,,0.12,0.12,,,
173557,Penson & Co.,Jynn Jiang,8,0,0,0.0,0.0,0.0,0.0,,0.15,0.15,0.25,,
2387,Cloud9 Design Inc.,Supplier Service Desk,6,0,0,0.0,0.0,0.0,0.0,,0.09999999999999999,0.09999999999999999,,,
358408,"Xinyun Keji (Shanghai) Trading Co., Ltd.",Jessica Gu,3,0,0,0.0,0.0,0.0,0.0,,0.26666666666666666,0.26666666666666666,0.3666666666666667,,
43431,ocean home fashion inc,Asia Supplier Service Desk,6,0,0,0.0,0.0,0.0,0.0,,0.11,0.11,0.12,0.2,
32808,CAN_Cathay Home Inc.,Paige Beattie,8,0,0,0.0,13.07,0.0,-13.07,-1.0,0.4,0.4,0.43,0.362530986993114,-2.5
24282,"Nanshing America, Inc.",Jaiden Lawlor,12,0,0,0.0,18.810000000000002,0.0,-18.810000000000002,-1.0,0.12000000000000004,0.12,0.12999999999999998,0.46605740181268884,-8.333333333333334
24696,Daniel Linen/Home Sweet Home Dreams Inc.,Supplier Service Desk,7,0,0,0.0,22.36,0.0,-22.36,-1.0,0.054285714285714305,0.11340339892665477,0.11440339892665476,0.29981927549194987,-8.818077848325904
23665,"Cozy Line Home Fashions, Inc.",Jaiden Lawlor,16,0,0,0.0,23.619999999999997,0.0,-23.619999999999997,-1.0,0.05,0.05000000000000001,0.10000000000000002,0.4135261048909841,-19.999999999999996
225555,Maple Leaf curtain Corp._1,Asia Supplier Service Desk,2,0,0,0.0,189.55,0.0,-189.55,-1.0,0.05,0.049999999999999996,0.049999999999999996,0.49989999999999996,-20.0
