source_page,source_row,supplier_id,supplier_name,srm,sku,class_name,rec_discount_pct,discount_pct,b2b_discount_pct,wsc_rev_l12m,grs_l12m,l10_non_promo_daily_avg,member_monday_sales,member_monday_lift_pct,incremental_sales,active_on_member_monday,positive_lift
1,4,32808,CAN_Cathay Home Inc.,Paige Beattie,WFBS1741,Sheets & Pillowcases,0.5,0.25,0.28,96407.94,201256.68,3564.89,4800.99,0.3467,1236.1,True,True
1,5,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR1247,Bedding Sets,0.5,0.42,0.45,54025.71,64637.33,1618.18,3020.1,0.8664000000000001,1401.9199999999998,True,True
1,6,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR1377,Bedding Sets,0.5,0.2,0.23,58383.0,79134.22,1490.49,1160.79,-0.2212,-329.70000000000005,True,False
1,7,72878,WW Sheets,Jaiden Lawlor,WSHE1046,Sheets & Pillowcases,0.2,0.1,0.11,34818.4,65881.07,1195.0,1193.87,-0.0009,-1.1300000000001091,True,False
1,8,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR1474,Bedding Sets,0.4854,0.22,0.25,43750.52,50403.85,1128.93,1416.22,0.2545,287.28999999999996,True,True
1,9,1987,JLA Home,Missy Paragamian,NCWB1200,Bedding Sets,0.44909999999999994,0.07,0.2588,189824.15,231507.55,1128.4,1506.34,0.33490000000000003,377.9399999999998,True,True
1,10,24696,Daniel Linen/Home Sweet Home Dreams Inc.,Supplier Service Desk,ANDV3018,Sheets & Pillowcases,0.2,0.02,0.021,78662.02,137705.87,984.33,1229.92,0.2495,245.59000000000003,True,True
1,11,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR1691,Bedding Sets,0.5,0.4,0.43,12855.71,15771.26,925.48,1675.0,0.8099,749.52,True,True
1,12,27315,CAN_Beco Industries,Paige Beattie,NAL1994,Sheets & Pillowcases,0.5,0.15,0.25,15343.26,19759.57,911.95,1016.3,0.1144,104.34999999999991,True,True
1,13,231356,"SHENZHENMENGMI TEXTILE CO.,LTD",lance Zhou,SEDZ1026,Bedding Sets,0.2145,0.15,,8360.69,13469.77,863.44,1352.02,0.5658,488.5799999999999,True,True
1,14,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR1646,Sheets & Pillowcases,0.2,0.25,0.28,25474.38,34558.31,831.64,1366.09,0.6426000000000001,534.4499999999999,True,True
1,15,27315,CAN_Beco Industries,Paige Beattie,KBFC2338,Sheets & Pillowcases,0.5,0.15,0.25,19144.85,25499.34,815.24,770.32,-0.055099999999999996,-44.91999999999996,True,False
1,16,25843,"Bedshe International Co.,LTD",Rainbow Wu,BDUR2441,Bedding Sets,0.4114,0.2,0.23,38595.54,58925.86,801.57,614.53,-0.23329999999999998,-187.04000000000008,True,False
