class_name,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,non_promo_daily_avg,member_pop_up_sales,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,lift_per_discount_point
Curtains & Drapes,510,161,114,0.2235294117647059,15163.77,16908.969999999998,1745.199999999997,0.11509011281495281,0.2554705882352941,0.1834370476471221,0.6274093172081121
Blinds and Shades,189,53,37,0.19576719576719576,7694.540000000001,9897.100000000002,2202.5600000000013,0.2862497303282589,0.2570899470899471,0.23160290283759646,1.2359505292080974
Curtain Hardware & Accessories,22,12,8,0.36363636363636365,1296.3,1470.8000000000002,174.50000000000023,0.1346139011031399,0.16772727272727275,0.10905700840854736,1.2343443403366776
Dining Linens,241,37,31,0.12863070539419086,339.44,411.89000000000004,72.45000000000005,0.2134397831722839,0.1699170124481328,0.14124448367166814,1.5111371263775395
Valances & Kitchen Curtains,51,13,11,0.21568627450980393,120.80999999999999,236.79,115.98,0.9600198659051404,0.24411764705882352,0.21184918467014321,4.531619356477231
Bedding Sets,24,2,3,0.125,102.27,119.39000000000001,17.12000000000002,0.16740001955607725,0.32708333333333334,0.21611739469578786,0.7745791114672358
Wall & Accent Mirrors,15,2,2,0.13333333333333333,39.05,88.04,48.99000000000001,1.2545454545454549,0.25,0.25,5.018181818181819
Accent Pillows,30,4,3,0.1,31.51,73.69,42.17999999999999,1.3386226594731827,0.2150000000000001,0.1468581402729292,9.115072933549431
Slipcovers,5,2,1,0.2,69.22,49.85,-19.369999999999997,-0.2798324183761918,0.19,0.17150390060676107,-1.6316387988038576
Blankets And Throws,19,4,4,0.21052631578947367,24.590000000000003,49.72,25.129999999999995,1.0219601464009758,0.27631578947368424,0.27803172021146805,3.675696232155394
"Placemats, Chargers, & Napkins",171,5,6,0.03508771929824561,137.47000000000003,45.42,-92.05000000000003,-0.6696006401396669,0.16169590643274853,0.13760627861347285,-4.866061686186078
Hammocks,17,1,0,0.0,64.53,43.63,-20.9,-0.32388036572136986,0.12882352941176467,0.16290562529056252,-1.9881472180207946
"Boxes, Bins, Baskets, & Buckets",2,1,1,0.5,23.29,35.28,11.990000000000002,0.5148132245598971,0.5,0.5,1.0296264491197942
Dog Beds & Mats,3,2,2,0.6666666666666666,26.55,18.82,-7.73,-0.29114877589453864,0.3333333333333333,0.25,-1.1645951035781545
Shower Curtains,11,2,1,0.09090909090909091,13.05,16.66,3.6099999999999994,0.2766283524904214,0.2,0.05,5.532567049808428
Standard Bed Pillow,1,1,1,1.0,3.46,9.21,5.750000000000001,1.6618497109826593,0.2,0.2,8.309248554913296
Kitchen Towels,12,1,1,0.08333333333333333,1.19,8.93,7.74,6.50420168067227,0.10000000000000002,0.1,65.0420168067227
Accent Stools,3,0,0,0.0,0.0,0.0,0.0,,0.5,0.5,
Bedding Accessories,3,0,0,0.0,0.0,0.0,0.0,,0.35000000000000003,0.35000000000000003,
Benches,1,0,0,0.0,0.0,0.0,0.0,,0.16,0.16,
Canisters & Jars,3,0,0,0.0,0.0,0.0,0.0,,0.20000000000000004,0.20000000000000004,
Christmas Tree Skirts & Collars,7,0,0,0.0,0.0,0.0,0.0,,0.1285714285714286,0.1285714285714286,
Coffee & Cocktail Tables,103,0,0,0.0,0.0,0.0,0.0,,0.15854368932038834,0.15854368932038834,
Cruets & Condiment Bottles,2,0,0,0.0,0.0,0.0,0.0,,0.2,0.2,
Dining Chairs,5,0,0,0.0,0.0,0.0,0.0,,0.13,0.13,
Dining Table Sets,96,0,0,0.0,0.0,0.0,0.0,,0.15885416666666663,0.15885416666666663,
Dining Tables,35,0,0,0.0,0.0,0.0,0.0,,0.15685714285714286,0.15685714285714286,
Dinnerware Storage,1,0,0,0.0,0.0,0.0,0.0,,0.1,0.1,
Dog Houses,1,0,0,0.0,0.0,0.0,0.0,,0.2,0.2,
Dressers & Chests,8,0,0,0.0,0.0,0.0,0.0,,0.14625,0.14625,
Indoor Chaise Lounges,2,0,0,0.0,0.0,0.0,0.0,,0.16,0.16,
Jewelry Boxes,1,0,0,0.0,0.0,0.0,0.0,,0.49,0.49,
Kitchen Aprons,1,0,0,0.0,0.0,0.0,0.0,,0.1,0.1,
Kitchen Scales,1,0,0,0.0,0.0,0.0,0.0,,0.2,0.2,
Knife Sets,1,0,0,0.0,0.0,0.0,0.0,,0.2,0.2,
"Napkin Rings, Place Card Holders & Food Markers",1,0,0,0.0,0.0,0.0,0.0,,0.1,0.1,
Nightstands,2,0,0,0.0,0.0,0.0,0.0,,0.10500000000000001,0.10500000000000001,
Plant Stands & Tables,1,0,0,0.0,0.0,0.0,0.0,,0.5,0.5,
Shelving & Racks,2,0,0,0.0,0.0,0.0,0.0,,0.48,0.48,
Sofa & Console Tables,4,0,0,0.0,0.0,0.0,0.0,,0.16,0.16,
Table Lamps,4,0,0,0.0,0.0,0.0,0.0,,0.2,0.2,
Wall Décor,3,0,0,0.0,0.0,0.0,0.0,,0.5,0.5,
Wall Sconces,1,0,0,0.0,0.0,0.0,0.0,,0.2,0.2,
Wall Stickers,4,0,0,0.0,0.0,0.0,0.0,,0.16,0.16,
