marketing_category,sku_count,active_skus,positive_lift_skus,positive_lift_sku_rate,non_promo_daily_avg,member_pop_up_sales,incremental_sales,weighted_lift_pct,avg_discount_pct,weighted_discount_pct,lift_per_discount_point
Window,327,206,137,0.41896024464831805,24275.42,27813.85,3538.4300000000003,0.14576184469722875,0.2182874617737003,0.1948736252555054,0.7479813879693338
Tabletop,92,28,20,0.21739130434782608,478.7,374.21000000000004,-104.48999999999995,-0.21827867140171286,0.15163043478260868,0.14009609358679756,-1.5580639389240123
Bedding,21,5,4,0.19047619047619047,161.92000000000004,197.68,35.75999999999996,0.2208498023715412,0.2314285714285714,0.21272418478260868,1.0381979021202334
Decorative Accent - Wall Accents,3,1,1,0.3333333333333333,39.05,63.7,24.650000000000006,0.6312419974391807,0.25,0.25,2.524967989756723
Upholstery - Niche,3,2,1,0.3333333333333333,69.22,49.85,-19.369999999999997,-0.2798324183761918,0.18333333333333335,0.17150390060676107,-1.6316387988038576
Outdoor,2,1,0,0.0,64.53,43.63,-20.9,-0.32388036572136986,0.175,0.16290562529056252,-1.9881472180207946
Storage & Org - Frequency,3,1,1,0.3333333333333333,30.619999999999997,35.28,4.660000000000004,0.15218811234487276,0.3833333333333333,0.4162148922273024,0.3656479265565541
Bath,8,2,1,0.125,48.11,16.66,-31.45,-0.6537102473498233,0.27499999999999997,0.2686239866971523,-2.433551282547298
Pet,2,1,1,0.5,26.55,13.77,-12.780000000000001,-0.48135593220338985,0.25,0.25,-1.9254237288135594
Mattresses - Utility Bedding,1,1,1,1.0,3.46,9.21,5.750000000000001,1.6618497109826593,0.2,0.2,8.309248554913296
Kitchen,1,0,0,0.0,2.38,0.0,-2.38,-1.0,0.1,0.1,-10.0
Entertainment Furniture,1,0,0,0.0,6.52,0.0,-6.52,-1.0,0.5,0.5,-2.0
Storage & Org - Systems,1,0,0,0.0,10.0,0.0,-10.0,-1.0,0.5,0.5,-2.0
Accent Furniture,1,0,0,0.0,78.16,0.0,-78.16,-1.0,0.16,0.16,-6.25
Furniture - Kitchen and Dining,2,0,0,0.0,291.1,0.0,-291.1,-1.0,0.16,0.15999999999999998,-6.250000000000001
