display_sku,prsku,category,color_count,sales_ltm_fandd_net_revenue,ordercount_ltm
WFBS1741,WFBS1741,Bedding,22,3374425.87,137315
W100380458,RHFA1261,Window,12,1650971.57,28171
W010974369,RHFA1204,Window,12,1319088.94,22389
W004950862,WFBS2294,Window,31,1312737.14,38047
W003463280,XKQ10353,Window,29,1090861.36,16497
W005483026,LFMF4992,Window,27,959555.55,8437
ANDV3018,ANDV3018,Bedding,20,956522.3,18304
WNPO9085,WNPO9085,Window,50,925510.43,23671
BDUR1377,BDUR1377,Bedding,17,817999.15,15594
W100467711,ANDV5673,Bedding,19,794171.29,23855
W002856700,BCMH2130,Window,49,768923.94,20396
W009609980,WSHE1046,Bedding,36,766905.05,21413
W100174405,BPOS1022,Window,14,734846.15,13105
BDUR1247,BDUR1247,Bedding,25,722463.65,16858
W008232511,WSHE1041,Bedding,63,701994.08,17580
BDUR1474,BDUR1474,Bedding,31,693243.39,14428
W008675387,HCIG1579,Bedding,22,671410.52,21543
W002344207,ANSL1008,Bath,20,637925.24,11537
W005161860,LFMF4294,Bedding,24,634900.58,10442
W005271118,RBSD4459,Window,34,559447.58,4959
SEDZ1026,SEDZ1026,Bedding,32,559303.76,8220
W112272335,DCUS1508,Window,12,546279.87,8836
W110458410,RHFA1300,Window,12,499437.41,8939
W005404995,LATU1040,Bath,24,498900.63,20519
W111853353,KBFC2338,Bedding,37,475106.56,9090
W110414662,ZUAA1312,Window,15,467231.31,5865
NAL1994,NAL1994,Bedding,56,447422.78,8487
GSTL1191,GSTL1191,Bedding,18,446343.25,8682
ERB10798,ERB10798,Bedding,46,426430.28,8629
BDUR1424,BDUR1424,Bedding,12,424406.07,11229
GSTL1192,GSTL1192,Bedding,18,419112.23,8574
BDUR2441,BDUR2441,Bedding,24,412636.09,8266
W005052452,BRSD3620,Bedding,19,394737.91,3431
W009437352,EUTA1011,Window,15,392357.31,10154
SEDZ1090,SEDZ1090,Bedding,27,385031.27,5780
W003371528,WLRO1509,Bedding,22,373581.52,5611
W004761582,DFUN1036,Bath,10,363170.3,22222
W001451452,WFBS2117,Window,24,356169.75,11471
W006112385,WNPR5086,Bedding,12,354934.67,7766
W007587566,TPFI1132,Window,10,354213.47,7942
BDUR1383,BDUR1383,Bedding,31,351676.95,8617
W005404955,TRPT1913,Bedding,37,331617.01,10795
W004846886,ANDV5108,Bedding,13,328730.43,4828
BDUR1254,BDUR1254,Bedding,22,327649.33,5971
W110839344,KBFC2058,Bedding,31,321587.32,7517
W110841239,XBAC1159,Bedding,12,318988.66,7586
W110549440,ZZKO2156,Window,11,317368.57,5587
ERB10969,ERB10969,Bedding,44,309740.21,7815
W100122304,AAOF1790,Window,24,308330.87,5360
W004213105,ANSL1027,Bath,20,302669.15,5541
W100782003,ENDG2679,Bedding,14,297999.12,8802
ANSL1045,ANSL1045,Bath,10,296053.72,5795
W005759596,MITN4411,Bedding,47,282018.1,6978
W005000544,CHMB1504,Bedding,17,278440.33,1267
WWMA1006,WWMA1006,Bedding,22,267356.74,2469
W110586924,WFBS2366,Window,13,265484.0,7146
W005485526,LFMF4289,Bedding,24,265332.0,6305
W002130089,SUNZ1268,Window,24,262432.86,7787
BDUR1646,BDUR1646,Bedding,36,262132.57,4237
W112277493,BDUR1641,Bedding,27,260661.11,5304
LURR1173,LURR1173,Bath,10,254436.24,5858
W100527149,JNCH1461,Window,10,252650.81,5033
ERB1759,ERB1759,Bedding,13,252561.16,11243
W005704148,AOAI1023,Bedding,43,250953.71,7447
W003156760,FMFC1009,Window,12,248062.23,4347
BDUR1473,BDUR1473,Bedding,19,247397.72,4668
W001131986,SHOH1003,Bedding,19,244310.93,7783
BDUR1384,BDUR1384,Bedding,11,243632.61,4416
W110569750,LLIJ1204,Window,70,243398.88,1134
W112277495,BDUR1643,Bedding,29,235413.45,7814
TCTZ1573,TCTZ1573,Bath,12,231874.79,2804
BDUR1433,BDUR1433,Bedding,28,231423.22,6276
BCHH2614,BCHH2614,Window,19,229443.23,3810
W006984065,CEZM1066,Bedding,11,224891.7,2597
W100768659,ENDG2666,Bedding,16,222042.69,7269
BDUR1491,BDUR1491,Bedding,23,218200.85,4584
BDUR1712,BDUR1712,Bedding,19,212648.1,2842
W007621317,WLRO1637,Window,32,204908.16,7765
BDUR1334,BDUR1334,Bedding,19,196683.51,5647
GSTL1063,GSTL1063,Bedding,21,195850.67,8158
W005404702,TDCO1095,Window,13,190987.58,5244
W008942609,TPFI1148,Bedding,10,190701.87,9134
EBND4138,EBND4138,Bedding,36,188052.18,7141
